Exercise 7-1: State transition matrix

  Time [s]  Error (J2)  Error(Kep)
  68100.00      0.05        0.77
  68400.00      0.08        0.84
  68700.00      0.10        0.86
  69000.00      0.11        0.64
  69300.00      0.09        0.47
  69600.00      0.06        0.49
  69900.00      0.10        0.51
  70200.00      0.12        0.47
  70500.00      0.11        0.48
  70800.00      0.08        0.51
  71100.00      0.08        0.45
  71400.00      0.10        0.49
  71700.00      0.11        0.75
  72000.00      0.10        0.91
  72300.00      0.07        0.81
  72600.00      0.07        0.81
  72900.00      0.08        1.34
  73200.00      0.09        1.69
  73500.00      0.09        1.51
  73800.00      0.07        0.92
  74100.00      0.08        0.81
  74400.00      0.11        0.97
  74700.00      0.13        0.85
  75000.00      0.12        0.56
  75300.00      0.09        0.47
  75600.00      0.10        0.56
  75900.00      0.14        0.54
  76200.00      0.14        0.52
  76500.00      0.12        0.54
  76800.00      0.07        0.55
  77100.00      0.11        0.52
  77400.00      0.13        0.64
  77700.00      0.13        0.93
  78000.00      0.10        0.98
  78300.00      0.06        0.89
  78600.00      0.09        1.10
  78900.00      0.11        1.70
  79200.00      0.11        1.82
  79500.00      0.10        1.38
  79800.00      0.07        0.92
  80100.00      0.12        0.98
  80400.00      0.15        1.03
  80700.00      0.15        0.79
  81000.00      0.12        0.57
  81300.00      0.09        0.57
  81600.00      0.14        0.62
  81900.00      0.17        0.58
  82200.00      0.16        0.58
  82500.00      0.11        0.61
  82800.00      0.10        0.54
  83100.00      0.14        0.59
  83400.00      0.16        0.87
  83700.00      0.14        1.07
  84000.00      0.10        0.96
  84300.00      0.09        0.97
  84600.00      0.12        1.54
  84900.00      0.13        1.98
  85200.00      0.13        1.81
  85500.00      0.10        1.12
  85800.00      0.11        0.97
  86100.00      0.16        1.13
  86400.00      0.18        1.01

Time since epoch [s]

    86400.00

State transition matrix (reference)

  -279.76393    -0.61436    -0.77128    -1.97749  -176.76884  -218.58097
     5.44482     0.46365     0.46751     0.67732     2.85186     4.76225
   -20.31821     0.40525     0.58659     0.64261   -12.32589   -16.24931
     9.26340     0.69774     0.76639     1.06876     5.85009     7.23464
  -176.39688     0.19895    -0.98557    -1.26867  -111.02557  -137.36302
  -216.94809    -0.92156    -0.14293    -1.46183  -136.56204  -168.92825

J2 State transition matrix

  -279.73141    -0.61300    -0.76831    -1.97488  -176.73943  -218.54595
     4.94588     0.46436     0.46459     0.67371     2.53764     4.37347
   -20.94583     0.40252     0.58628     0.63834   -12.72045   -16.73746
    10.08752     0.69945     0.76835     1.07427     6.37036     7.87800
  -176.42392     0.20077    -0.98205    -1.26529  -111.03517  -137.37941
  -216.90555    -0.91896    -0.13879    -1.45733  -136.52976  -168.88617

Keplerian State transition matrix

  -279.15804    -0.68758    -0.84909    -2.08471  -176.75552  -218.27488
    15.74647     0.37945     0.58939     0.75689     9.33762    12.75888
    19.44527     0.58939     0.63001     0.93468    12.75888    14.76158
   -28.38266     0.55643     0.68713     0.78578   -17.96557   -22.18563
  -174.82513     0.13049    -1.06908    -1.37290  -110.35739  -136.16070
  -215.89105    -1.06908    -0.32400    -1.69539  -136.16070  -168.24110

