GPS/MET Real Time Orbit Determination

 Initial Epoch:           1996/10/01  00:05:29.000
 Inertial position:       -2915758.858    4622150.287   -4581931.300
 Inertial velocity:        -529.964911   -5411.837062   -5119.305700

 Gravity field order:  10
 Step size:            60.0 s
 Measurement sigma:    100.0 m
 A priori pos. sigma:  1000.0 m
 A priori vel. sigma:  10.0000 m/s
 State noise position: 0.0 m
 State noise velocity: 0.0000 m/s
 Edit level (sigma):   3.0


   Time      x(WGS)     y(WGS)     z(WGS)       Position [m]        Velocity [m/s]    Semi-major axis [m] 
    [s]        [m]        [m]        [m]     Meas. Sigma  Estim. Meas.  Sigma  Estim.  Meas. Sigma  Estim.
 62860.0   4390478.8  2518898.8  4988346.5   72.3   21.7  110.0  0.345  0.021  0.101   10.4    0.5    1.9
 63160.0   2520842.6  2583883.7  6121489.3   24.7   21.7  108.0  0.517  0.021  0.098   58.1    0.5    2.0
 63460.0    402500.6  2482067.0  6648428.8   43.8   21.5  102.7  0.180  0.021  0.090   90.0    0.5    0.2
 63760.0  -1763141.8  2230284.8  6517912.9   66.2   21.4   97.8  0.646  0.021  0.088   91.6    0.5    0.3
 64060.0  -3769688.2  1851034.0  5743477.4   18.0   21.3   88.3  0.343  0.021  0.082   36.2    0.5    3.4
 64360.0  -5425513.5  1370456.8  4401918.4   31.8   21.3   77.9  0.472  0.021  0.076   55.2    0.5    1.0
 64660.0  -6572244.3   816888.4  2625814.6   64.2   21.3   68.8  0.242  0.021  0.075   58.6    0.5    0.5
 64960.0  -7100268.0   219930.7   590573.9   10.9   21.4   57.9  0.234  0.021  0.071   37.8    0.5    0.9
 65260.0  -6959616.5  -390089.5 -1502941.0   29.8   21.4   48.7  0.045  0.021  0.069   26.8    0.5    0.7
 65560.0  -6164819.5  -982450.5 -3448503.3    9.1   21.5   44.2  1.670  0.021  0.067   64.6    0.5    0.6
 65860.0  -4793107.7 -1526331.0 -5055061.1   99.1   21.5   45.4  0.599  0.021  0.066  109.3    0.5    0.9
 66160.0  -2976310.1 -1991233.8 -6165408.3   16.2   21.5   50.2  0.412  0.021  0.066  129.2    0.5    1.4
 66460.0   -887676.1 -2347713.5 -6671081.9   12.1   21.4   56.7  0.200  0.021  0.068  105.8    0.5    1.6
 66760.0   1274746.8 -2568581.8 -6522385.9   17.4   21.2   65.0  0.483  0.021  0.072   56.4    0.5    3.2
 67060.0   3306601.3 -2630736.9 -5733039.1   71.9   21.1   72.1  0.497  0.021  0.069   43.3    0.5    0.1
 67360.0   5016249.8 -2517592.6 -4379251.3   35.3   21.1   79.3  0.405  0.021  0.077   58.7    0.5    3.1
 67660.0   6242956.7 -2221872.4 -2593076.6   62.2   21.1   86.0  0.290  0.021  0.081   70.2    0.5    1.2
 67960.0   6872637.8 -1748329.7  -550186.1   38.6   21.1   90.9  0.715  0.021  0.085   43.4    0.5    3.5
 68260.0   6849390.2 -1115818.5  1547251.6   25.3   21.1   93.3  0.574  0.021  0.085    5.3    0.5    2.6
 68560.0   6181124.9  -358145.8  3491002.2   81.2   21.2   93.3  0.188  0.021  0.090   12.5    0.5    0.2
 68860.0   4938335.9   476659.2  5088141.0  146.9   21.2   90.9 20.775  0.021  0.085   11.0    0.5    2.4
 69160.0   3246161.7  1328765.3  6180683.2   54.6   21.1   87.2  0.407  0.021  0.081   40.4    0.5    1.3
 69460.0   1270989.8  2130494.2  6661213.0   12.9   21.0   82.6  0.780  0.021  0.077  100.3    0.5    0.1
 69760.0   -796553.3  2811529.3  6483068.5   18.8   20.9   75.9  0.259  0.021  0.072  116.0    0.5    0.0
 70060.0  -2760301.6  3305024.5  5664478.0   74.3   20.7   67.8  0.338  0.021  0.070   58.4    0.5    1.3
 70360.0  -4437226.6  3554186.3  4286571.6   60.9   20.7   58.9  0.142  0.021  0.065   14.9    0.5    1.1
 70660.0  -5674609.3  3518784.6  2485502.2   41.9   20.7   51.0  0.158  0.021  0.063    4.3    0.5    2.6
 70960.0  -6364232.1  3180816.1   439142.4   82.7   20.8   44.5  0.359  0.021  0.062    9.8    0.5    1.1
 71260.0  -6452089.3  2548478.3 -1650559.8   24.7   20.9   41.2  0.645  0.021  0.062    4.4    0.5    1.3
 71560.0  -5942498.6  1657747.9 -3577780.5    7.8   20.9   42.8  0.325  0.021  0.067   54.5    0.5    1.2
 71860.0  -4896163.6   571145.3 -5153313.5   36.9   21.0   49.4  0.363  0.020  0.069  114.0    0.5    1.8
 72160.0  -3422645.2  -626275.8 -6223019.3   35.3   20.9   58.6  0.408  0.020  0.074  155.9    0.5    2.4
 72460.0  -1668478.5 -1833350.6 -6682404.2 1153.0*  21.1   70.9 27.081  0.021  0.077  140.7    0.5    2.3
 72760.0    197508.2 -2941072.8 -6486258.9   64.2   21.0   82.8  0.366  0.021  0.086  101.1    0.5    1.3
 73060.0   2000216.2 -3842180.8 -5652915.0  181.9   20.8   88.8  6.083  0.021  0.087   64.8    0.5    3.9
 73360.0   3574445.1 -4441476.6 -4262901.8   60.5   20.7   96.5  0.200  0.021  0.092   59.3    0.5    2.1
 73660.0   4780044.3 -4666027.6 -2451901.8   45.4   20.7  102.5  0.262  0.021  0.093   83.7    0.5    2.5
 73960.0   5514824.6 -4474192.7  -398125.8  110.7   20.7  106.7  0.910  0.021  0.092   88.6    0.5    5.7
 74260.0   5723799.3 -3862167.9  1695110.8   19.6   20.8  106.9  0.252  0.021  0.091   59.9    0.5    0.2
 74560.0   5403522.9 -2866854.1  3619982.3   47.6   20.8  103.7  0.378  0.021  0.093   10.3    0.5    2.7
 74860.0   4600876.1 -1564352.2  5185474.5   76.5   20.8   95.8  0.423  0.020  0.087   36.9    0.5    0.6
 75160.0   3406560.4   -64102.6  6236792.1   50.4   20.7   89.5  0.339  0.020  0.087    4.3    0.5    2.0
 75460.0   1944413.9  1500606.8  6670626.4   32.8   20.6   81.5  0.397  0.020  0.082   61.7    0.5    0.5
 75760.0    358084.5  2984737.4  6444928.7   19.4   20.5   71.9  0.098  0.020  0.075  105.0    0.5    3.8
 76060.0  -1203329.9  4245037.6  5582602.4   85.1   20.4   61.0  0.095  0.020  0.066  111.6    0.5    1.3
 76360.0  -2599345.0  5153929.4  4169076.2   37.0   20.3   52.8  0.567  0.020  0.062   70.4    0.5    3.4
 76660.0  -3710715.4  5612582.3  2344000.8   67.8   20.4   46.2  0.617  0.020  0.058    3.0    0.5    3.2
 76960.0  -4449654.5  5561874.1   287604.5   81.3   20.4   40.3  0.613  0.020  0.053   34.0    0.5    3.7
 77260.0  -4766679.6  4989832.2 -1797185.8   29.9   20.6   35.9  0.370  0.020  0.056   16.7    0.5    0.4
 77560.0  -4653372.0  3934452.9 -3705064.8  108.7   20.6   34.0  0.208  0.020  0.057   45.3    0.5    2.5
 77860.0  -4140830.2  2481373.1 -5248784.3  174.7   20.7   42.0  1.020  0.020  0.061   79.9    0.4    2.4
 78160.0  -3294311.9   756734.5 -6277341.9  155.7   20.7   45.6  1.143  0.020  0.060   94.9    0.5    2.1
 78460.0  -2205047.1 -1083951.2 -6690259.6   66.5   20.6   56.3  0.710  0.020  0.062  117.6    0.5    3.4
 78760.0   -980385.0 -2869665.7 -6446837.7   99.7   20.4   64.7  0.562  0.020  0.066   71.7    0.5    0.8
 79060.0    266668.6 -4429483.9 -5570005.6   95.3   20.3   74.2  0.587  0.020  0.074   46.1    0.5    2.2
 79360.0   1427655.4 -5608756.0 -4144576.3   71.2   20.2   79.9  0.215  0.020  0.077   29.0    0.5    0.4
 79660.0   2407965.7 -6284710.7 -2309769.5   27.2   20.2   85.4  0.150  0.020  0.080   15.8    0.5    8.0
 79960.0   3134534.8 -6379882.1  -246229.1   29.9   20.2   88.7  0.097  0.020  0.079   60.1    0.5    2.0
 80260.0   3561252.3 -5871637.9  1841697.0   46.1   20.3   90.4  0.380  0.020  0.080  125.9    0.5    2.2
 80560.0   3671463.6 -4796170.9  3746704.9   33.6   20.3   89.1  0.319  0.020  0.080   97.7    0.4    1.8
 80860.0   3477267.9 -3246121.7  5279801.3  102.3   20.3   86.6  0.195  0.020  0.083   28.9    0.4    0.9
 81160.0   3015917.2 -1362132.9  6289444.1   32.2   20.3   81.6  0.861  0.020  0.083   27.6    0.5    2.4
 81460.0   2344052.4   680583.0  6676470.9   68.5   20.2   76.8  0.663  0.020  0.079   21.2    0.5    3.1
 81760.0   1530744.6  2689026.0  6403447.6   21.1   20.1   71.2  0.391  0.020  0.074   70.3    0.5    5.6
 82060.0    650251.5  4470844.2  5497923.1   47.8   20.0   65.3  0.137  0.020  0.065  113.9    0.5    4.7
 82360.0   -224757.8  5852833.5  4049573.5   35.3   19.9   59.3  0.245  0.020  0.066   91.2    0.5    7.4
 82660.0  -1029017.3  6697991.1  2201485.6   59.7   19.9   51.8  0.318  0.020  0.055   70.2    0.5    2.2
 82960.0  -1709158.5  6919491.0   136152.8   41.3   20.0   46.6  0.544  0.020  0.055   22.9    0.5    4.0
 83260.0  -2226598.1  6489930.5 -1942641.8   13.7   20.1   41.9  0.278  0.020  0.056   51.9    0.5    0.2
 83560.0  -2558706.7  5444615.3 -3830227.9  175.1   20.2   33.8  0.261  0.020  0.048   56.2    0.4    3.5
 83860.0  -2698304.8  3878316.1 -5341411.5   35.7   20.3   33.5  0.415  0.020  0.051   68.3    0.4    2.8
 84160.0  -2651766.0  1936137.7 -6328406.8   65.3   20.2   37.7  0.395  0.020  0.050   92.2    0.5    2.4
 84460.0  -2436287.2  -200280.3 -6694783.2   41.3   20.1   41.8  0.733  0.020  0.050   98.2    0.5    3.5
 84760.0  -2076862.9 -2329734.3 -6404364.2   45.8   20.0   47.0  0.068  0.020  0.051   69.8    0.5    3.1
 85060.0  -1603456.7 -4250066.7 -5484653.5   90.7   19.9   54.0  0.264  0.020  0.053   58.2    0.5    6.4
 85360.0  -1048679.4 -5777133.5 -4024680.2   43.4   19.8   59.6  5.775  0.020  0.054   37.8    0.5    3.0
 85660.0   -446041.2 -6762744.8 -2167124.3  100.4   19.8   61.8  0.521  0.020  0.053   36.1    0.5    7.3
 85960.0    171284.6 -7109832.8   -94944.9   60.9   19.8   62.8  0.111  0.020  0.055   18.1    0.5    0.6
