Exercise 4-3: Step size control of DE multistep method

  Step       t           h          r 
  187    5.818445    0.033162     0.795
  188    5.851606    0.033162     0.758
  189    5.884768    0.033162     0.719
  190    5.917930    0.033162     0.679
  191    5.951092    0.033162     0.637
  192    5.984254    0.033162     0.593
  193    6.017416    0.033162     0.547
  194    6.033997    0.016581     0.523
  195    6.050578    0.016581     0.499
  196    6.067159    0.016581     0.474
  197    6.083739    0.016581     0.448
  198    6.100320    0.016581     0.421
  199    6.116901    0.016581     0.393
  200    6.133482    0.016581     0.365
  201    6.148405    0.014923     0.338
  202    6.155867    0.007461     0.325
  203    6.169297    0.013431     0.300
  204    6.176012    0.006715     0.287
  205    6.182728    0.006715     0.274
  206    6.189443    0.006715     0.261
  207    6.196158    0.006715     0.248
  208    6.202873    0.006715     0.234
  209    6.209589    0.006715     0.221
  210    6.216304    0.006715     0.207
  211    6.223019    0.006715     0.193
  212    6.229063    0.006044     0.181
  213    6.235107    0.006044     0.168
  214    6.238129    0.003022     0.162
  215    6.241151    0.003022     0.156
  216    6.244172    0.003022     0.150
  217    6.247194    0.003022     0.144
  218    6.250216    0.003022     0.138
  219    6.253238    0.003022     0.133
  220    6.256260    0.003022     0.127
  221    6.259282    0.003022     0.122
  222    6.262304    0.003022     0.117
  223    6.265326    0.003022     0.113
  224    6.268045    0.002720     0.110
  225    6.270765    0.002720     0.107
  226    6.272125    0.001360     0.105
  227    6.273485    0.001360     0.104
  228    6.274844    0.001360     0.103
  229    6.276204    0.001360     0.102
  230    6.277564    0.001360     0.101
  231    6.278924    0.001360     0.101
  232    6.280284    0.001360     0.100
  233    6.281644    0.001360     0.100
  234    6.283003    0.001360     0.100
  235    6.284363    0.001360     0.100
  236    6.285723    0.001360     0.100
  237    6.287083    0.001360     0.101
  238    6.288443    0.001360     0.101
  239    6.289803    0.001360     0.102
  240    6.291163    0.001360     0.103
  241    6.292522    0.001360     0.104
  242    6.293882    0.001360     0.105
  243    6.295242    0.001360     0.106
  244    6.296602    0.001360     0.108
  245    6.297962    0.001360     0.109
  246    6.299322    0.001360     0.111
  247    6.300681    0.001360     0.113
  248    6.302041    0.001360     0.115
  249    6.303401    0.001360     0.116
  250    6.304761    0.001360     0.119
  251    6.306121    0.001360     0.121
  252    6.307481    0.001360     0.123
  253    6.308841    0.001360     0.125
  254    6.310200    0.001360     0.127
  255    6.311560    0.001360     0.130
  256    6.312920    0.001360     0.132
  257    6.314280    0.001360     0.135
  258    6.315640    0.001360     0.137
  259    6.317000    0.001360     0.140
