GPS/MET Real Time Orbit Determination

 Initial Epoch:           1996/10/01  00:05:29.000
 Inertial position:       -2915758.858    4622150.287   -4581931.300
 Inertial velocity:        -529.964911   -5411.837062   -5119.305700

 Gravity field order:  4
 Step size:            30.0 s
 Measurement sigma:    100.0 m
 A priori pos. sigma:  1000.0 m
 A priori vel. sigma:  10.0000 m/s
 State noise position: 10.0 m
 State noise velocity: 0.0100 m/s
 Edit level (sigma):   3.0


   Time      x(WGS)     y(WGS)     z(WGS)       Position [m]        Velocity [m/s]    Semi-major axis [m] 
    [s]        [m]        [m]        [m]     Meas. Sigma  Estim. Meas.  Sigma  Estim.  Meas. Sigma  Estim.
 66160.0  -2976331.5 -1991220.5 -6165401.8   16.2   85.8   25.4  0.412  0.098  0.027  129.2   65.8    3.3
 66460.0   -887713.0 -2347692.8 -6671099.5   12.1   85.8   12.1  0.200  0.098  0.036  105.8   65.8    5.3
 66760.0   1274703.1 -2568554.7 -6522434.3   17.4   85.8   13.8  0.483  0.098  0.048   56.4   65.8    8.1
 67060.0   3306558.6 -2630713.4 -5733138.9   71.9   85.8   45.2  0.497  0.098  0.082   43.3   65.9   19.4
 67360.0   5016225.5 -2517570.0 -4379370.2   35.3   85.8   50.2  0.405  0.098  0.064   58.7   66.0    7.4
 67660.0   6242956.6 -2221865.0 -2593193.2   62.2   85.8   37.8  0.290  0.098  0.053   70.2   66.1   10.2
 67960.0   6872665.0 -1748337.3  -550304.0   38.6   85.8   36.9  0.715  0.098  0.064   43.4   66.1   24.7
 68260.0   6849445.6 -1115844.1  1547143.1   25.3   85.8   36.6  0.574  0.098  0.068    5.3   66.1   11.5
 68560.0   6181219.5  -358186.0  3490911.2   81.2   85.8   51.5  0.188  0.098  0.062   12.5   66.1   21.8
 68860.0   4938477.4   476609.8  5088086.4  146.9   85.8   81.0 20.775  0.098  0.082   11.0   66.1   39.1
 69160.0   3246293.1  1328718.7  6180654.4   54.6   85.8   63.5  0.407  0.098  0.040   40.4   66.0   22.3
 69460.0   1271096.5  2130447.0  6661202.2   12.9   85.8   39.0  0.780  0.098  0.012  100.3   66.0    8.9
 69760.0   -796464.0  2811482.8  6483077.4   18.8   85.8   29.0  0.259  0.098  0.029  116.0   66.0   12.7
 70060.0  -2760220.9  3304994.3  5664520.4   74.3   85.8   33.6  0.338  0.098  0.007   58.4   66.1    1.7
 70360.0  -4437165.5  3554177.3  4286641.1   60.9   85.8   42.0  0.142  0.098  0.048   14.9   66.1   17.3
 70660.0  -5674572.5  3518781.8  2485566.8   41.9   85.8   28.1  0.158  0.098  0.040    4.3   66.2   29.9
 70960.0  -6364232.1  3180838.7   439214.7   82.7   85.8   37.0  0.359  0.098  0.054    9.8   66.1   42.9
 71260.0  -6452114.0  2548504.3 -1650496.7   24.7   85.8   32.7  0.645  0.098  0.061    4.4   66.1   24.3
 71560.0  -5942543.0  1657774.9 -3577734.4    7.8   85.8   28.4  0.325  0.098  0.057   54.5   66.0   16.4
 71860.0  -4896209.6   571171.1 -5153287.7   36.9   85.8   16.2  0.363  0.098  0.038  114.0   65.9    5.6
 72160.0  -3422694.7  -626245.5 -6223014.8   35.3   85.8   10.6  0.408  0.098  0.020  155.9   65.8   13.4
 72460.0  -1668536.5 -1833316.0 -6682425.0 1153.0* 107.6    9.3 27.081  0.121  0.020  140.7   71.3    7.2
 72760.0    197461.9 -2941045.8 -6486297.4   64.2   95.7   18.7  0.366  0.107  0.022  101.1   67.5   10.6
 73060.0   2000143.5 -3842150.5 -5653054.7  181.9   90.7   77.4  6.083  0.102  0.112   64.8   66.4   18.5
 73360.0   3574395.4 -4441451.9 -4263042.5   60.5   88.1   56.0  0.200  0.100  0.063   59.3   66.1   11.5
 73660.0   4780018.4 -4666010.0 -2452040.9   45.4   86.8   42.6  0.262  0.100  0.027   83.7   66.1    2.2
 73960.0   5514833.0 -4474187.1  -398264.5  110.7   86.2   43.9  0.910  0.099  0.006   88.6   66.2    5.0
 74260.0   5723817.8 -3862182.0  1694989.1   19.6   86.0   31.6  0.252  0.099  0.033   59.9   66.2    6.0
 74560.0   5403562.8 -2866902.9  3619881.0   47.6   86.0   19.3  0.378  0.099  0.040   10.3   66.2    6.1
 74860.0   4600945.9 -1564432.3  5185399.4   76.5   86.1   37.3  0.423  0.099  0.055   36.9   66.1    0.7
 75160.0   3406619.3   -64176.3  6236754.9   50.4   86.1   14.0  0.339  0.099  0.033    4.3   66.1    9.0
 75460.0   1944462.6  1500546.0  6670616.0   32.8   86.1    6.5  0.397  0.099  0.029   61.7   66.0   18.1
 75760.0    358133.5  2984688.7  6444946.7   19.4   86.0   16.4  0.098  0.099  0.028  105.0   66.0   28.4
 76060.0  -1203275.2  4245004.6  5582639.1   85.1   85.9   32.1  0.095  0.098  0.025  111.6   66.1   25.6
 76360.0  -2599305.4  5153914.7  4169113.8   37.0   85.8   28.7  0.567  0.098  0.033   70.4   66.2   15.4
 76660.0  -3710688.2  5612572.4  2344024.5   67.8   85.8   26.8  0.617  0.098  0.042    3.0   66.2    3.5
 76960.0  -4449638.9  5561893.7   287632.9   81.3   85.8   31.3  0.613  0.098  0.017   34.0   66.2    2.8
 77260.0  -4766673.7  4989866.8 -1797155.6   29.9   85.8   29.2  0.370  0.098  0.026   16.7   66.1   10.3
 77560.0  -4653400.1  3934533.5 -3705038.0  108.7   85.8   62.1  0.208  0.098  0.072   45.3   66.0   44.9
 77860.0  -4140845.1  2481405.1 -5248775.2  174.7   85.9    6.7  1.020  0.098  0.004   79.9   65.9    6.7
 78160.0  -3294359.5   756824.8 -6277363.9  155.7   85.9   60.1  1.143  0.098  0.066   94.9   65.8   32.3
 78460.0  -2205072.1 -1083882.0 -6690295.4   66.5   85.9   27.7  0.710  0.098  0.016  117.6   65.8   23.9
 78760.0   -980401.0 -2869593.1 -6446899.6   99.7   85.8   37.1  0.562  0.098  0.019   71.7   65.8    3.9
 79060.0    266663.6 -4429423.2 -5570048.4   95.3   85.8   31.0  0.587  0.098  0.029   46.1   65.9   20.1
 79360.0   1427644.9 -5608710.4 -4144659.3   71.2   85.8   24.3  0.215  0.098  0.022   29.0   66.0    0.0
 79660.0   2407951.7 -6284689.7 -2309859.4   27.2   85.8   14.3  0.150  0.098  0.039   15.8   66.1   20.1
 79960.0   3134524.0 -6379900.4  -246325.2   29.9   85.8   11.0  0.097  0.098  0.046   60.1   66.1    2.6
 80260.0   3561253.0 -5871687.3  1841616.6   46.1   85.8   15.4  0.380  0.098  0.028  125.9   66.1   42.3
 80560.0   3671467.8 -4796236.7  3746643.7   33.6   85.8   16.9  0.319  0.098  0.009   97.7   66.1   17.4
 80860.0   3477261.5 -3246192.9  5279765.0  102.3   85.8   27.6  0.195  0.098  0.023   28.9   66.0   24.2
 81160.0   3015920.9 -1362222.2  6289437.0   32.2   85.8   31.0  0.861  0.098  0.051   27.6   66.0   21.7
 81460.0   2344051.4   680500.6  6676494.8   68.5   85.8   36.3  0.663  0.098  0.053   21.2   66.0    1.4
 81760.0   1530746.4  2688958.3  6403486.5   21.1   85.8   26.5  0.391  0.098  0.040   70.3   66.0    1.9
 82060.0    650253.2  4470793.6  5497980.3   47.8   85.8   26.7  0.137  0.098  0.033  113.9   66.1    6.3
 82360.0   -224754.3  5852801.9  4049646.5   35.3   85.8   29.8  0.245  0.098  0.027   91.2   66.1    0.7
 82660.0  -1029011.5  6697980.2  2201576.4   59.7   85.8   45.3  0.318  0.098  0.032   70.2   66.2    6.0
 82960.0  -1709156.3  6919498.6   136230.5   41.3   85.8   34.4  0.544  0.098  0.036   22.9   66.1   25.0
 83260.0  -2226594.8  6489948.0 -1942581.4   13.7   85.8   22.1  0.278  0.098  0.035   51.9   66.1    3.3
 83560.0  -2558693.3  5444705.4 -3830164.6  175.1   85.8   81.4  0.261  0.098  0.073   56.2   66.0   31.2
 83860.0  -2698283.3  3878402.0 -5341376.4   35.7   85.8   65.5  0.415  0.098  0.034   68.3   65.9    6.4
 84160.0  -2651737.6  1936188.1 -6328381.7   65.3   85.8   41.1  0.395  0.098  0.035   92.2   65.8    6.9
 84460.0  -2436259.1  -200224.3 -6694779.3   41.3   85.8   39.4  0.733  0.098  0.044   98.2   65.8   15.6
 84760.0  -2076842.6 -2329681.2 -6404388.4   45.8   85.8   30.0  0.068  0.098  0.025   69.8   65.8   11.4
 85060.0  -1603437.3 -4250032.7 -5484662.6   90.7   85.8   42.1  0.264  0.098  0.043   58.2   65.9    2.7
 85360.0  -1048662.2 -5777111.7 -4024692.7   43.4   85.8   49.6  5.775  0.098  0.049   37.8   66.0   20.1
 85660.0   -446048.2 -6762751.6 -2167166.6  100.4   85.8   25.2  0.521  0.098  0.020   36.1   66.1   46.5
 85960.0    171265.2 -7109862.0   -94991.1   60.9   85.8   29.4  0.111  0.098  0.024   18.1   66.1   24.9
