GPS/MET Real Time Orbit Determination

 Initial Epoch:           1996/10/01  00:05:29.000
 Inertial position:       -2915758.858    4622150.287   -4581931.300
 Inertial velocity:        -529.964911   -5411.837062   -5119.305700

 Gravity field order:  4
 Step size:            30.0 s
 Measurement sigma:    100.0 m
 A priori pos. sigma:  1000.0 m
 A priori vel. sigma:  10.0000 m/s
 State noise position: 10.0 m
 State noise velocity: 0.0100 m/s
 Edit level (sigma):   3.0


   Time      x(WGS)     y(WGS)     z(WGS)       Position [m]        Velocity [m/s]    Semi-major axis [m] 
    [s]        [m]        [m]        [m]     Meas. Sigma  Estim. Meas.  Sigma  Estim.  Meas. Sigma  Estim.
 14860.0  -4064516.5 -4144057.6  4101765.3   60.3   85.8   55.3  0.170  0.098  0.014   85.6   66.1   19.6
 15160.0  -2471428.8 -3706547.6  5536891.1  117.2   85.8   61.0  1.458  0.098  0.060   56.7   66.0   12.8
 15460.0   -609671.0 -2979884.6  6423256.7   46.2   85.8   54.0  0.348  0.098  0.085   85.0   66.0   25.4
 15760.0   1348409.0 -2043996.3  6673947.1   15.4   85.8   45.8  0.210  0.098  0.080    3.9   66.0    8.6
 16060.0   3217716.0  -991247.0  6264950.1   66.1   85.8   23.1  0.440  0.098  0.038   67.9   66.0    4.5
 16360.0   4818036.1    82816.4  5237111.9   34.4   85.8   13.4  0.420  0.098  0.053   58.7   66.1   42.4
 16660.0   5991528.3  1088072.8  3692126.3   42.9   85.8   22.1  0.772  0.098  0.051   25.7   66.2   58.6
 16960.0   6618577.6  1947292.7  1782635.9   49.0   85.8   34.1  0.183  0.098  0.044   34.8   66.2   51.9
 17260.0   6630339.7  2601777.5  -302792.4   43.0   85.8   28.0  0.383  0.098  0.041   96.4   66.1   37.4
 17560.0   6016581.9  3014809.9 -2358398.3   37.7   85.8   33.6  0.740  0.098  0.044   80.2   66.0   24.7
 17860.0   4827367.3  3172692.9 -4181925.6   71.0   85.8   43.4  0.112  0.098  0.036   40.4   65.9   34.3
 18160.0   3168662.2  3083375.8 -5594580.0   35.3   85.8   43.0  0.259  0.098  0.017   23.7   65.8   24.8
 18460.0   1192503.5  2773200.3 -6458272.6   67.8   85.8   39.9  0.284  0.098  0.031   47.7   65.8   10.1
 18760.0   -917297.8  2282409.5 -6688569.6   71.5   85.8   30.4  0.485  0.098  0.040  107.7   65.8    4.1
 19060.0  -2962023.8  1660187.3 -6262542.2   43.6   85.8   23.5  0.301  0.098  0.057  126.7   65.8   22.2
 19360.0  -4746539.6   959736.0 -5220859.3   33.5   85.8   15.4  0.157  0.098  0.054   89.7   65.9    4.8
 19660.0  -6097682.1   234033.7 -3664661.7   87.1   85.8   42.4  0.739  0.098  0.085    8.3   66.0    4.2
 19960.0  -6881515.8  -467897.6 -1746200.4   20.1   85.8   47.6  0.336  0.098  0.089    4.5   66.1   13.9
 20260.0  -7017429.8 -1103631.5   345271.9   54.4   85.8   48.6  0.819  0.098  0.059   26.6   66.1   10.5
 20560.0  -6487342.5 -1639182.9  2402420.5   39.4   85.8   41.0  0.443  0.098  0.057   34.7   66.1   18.7
 20860.0  -5338322.4 -2049857.4  4220990.4   11.8   85.8   30.7  0.814  0.098  0.054   67.7   66.1   15.1
 21160.0  -3678193.4 -2320031.5  5620700.2   39.1   85.8   14.1  1.196  0.098  0.037   66.0   66.0   31.0
 21460.0  -1664706.1 -2442314.6  6463393.1   16.1   85.8    8.6  0.185  0.098  0.027   70.0   66.0   13.9
 21760.0    510282.0 -2416282.3  6666501.6   72.8   85.8    7.7  0.078  0.098  0.022   57.7   66.0    8.3
 22060.0   2639482.5 -2247332.5  6210715.1   62.4   85.8   18.0  0.399  0.098  0.041   54.4   66.1   46.0
 22360.0   4520178.0 -1945725.0  5141454.5   65.7   85.8   24.0  0.339  0.098  0.035   82.7   66.1   50.6
 22660.0   5973536.6 -1526306.5  3564514.7    4.8   85.8   19.6  0.169  0.098  0.018   54.7   66.2   19.9
 22960.0   6861934.2 -1008519.8  1635679.2   28.6   85.8    9.7  0.332  0.098  0.031   32.9   66.2   22.9
 23260.0   7102423.3  -416631.1  -454559.3   31.3   85.8   17.9  0.174  0.098  0.051    9.6   66.1   27.9
 23560.0   6674757.2   220143.9 -2500044.8   29.2   85.8   27.8  0.287  0.098  0.059    5.6   66.0   22.3
 23860.0   5622972.2   867799.1 -4299534.7   20.8   85.8   31.8  0.320  0.098  0.047    5.7   65.9    3.6
 24160.0   4050394.4  1488252.0 -5676618.1   31.9   85.8   36.9  0.279  0.098  0.024   27.8   65.8    6.1
 24460.0   2108876.0  2040627.1 -6496711.0   39.1   85.8   38.9  0.428  0.098  0.018   24.1   65.8    8.8
 24760.0    -16180.9  2483287.1 -6679650.0   72.8   85.8   38.2  0.565  0.098  0.028   11.6   65.8    7.6
 25060.0  -2123505.3  2776585.9 -6207034.5   54.7   85.8   43.3  0.621  0.098  0.056   68.2   65.8   10.6
 25360.0  -4014653.2  2886332.2 -5124140.2   73.6   85.8   50.3  0.541  0.098  0.072   65.2   65.9   24.2
 25660.0  -5512508.2  2787705.5 -3536082.9    6.2   85.8   39.3  0.221  0.098  0.057    0.8   66.0    7.5
 25960.0  -6478237.3  2469320.9 -1598444.8   63.1   85.8   34.4  0.322  0.098  0.043   56.1   66.1   12.5
 26260.0  -6824991.2  1936650.5   497572.8   25.5   85.8   34.3  0.493  0.098  0.036   31.6   66.1   12.2
 26560.0  -6526493.8  1214159.7  2544155.9   64.1   85.8   36.9  0.338  0.098  0.026   21.5   66.1   18.9
 26860.0  -5619333.7   345588.3  4338088.7   43.2   85.8   39.3  0.764  0.098  0.020   54.3   66.1    9.4
 27160.0  -4198416.7  -607982.6  5701587.5   22.0   85.8   36.4  1.622  0.098  0.020   45.2   66.0   14.8
 27460.0  -2406376.5 -1572066.8  6500145.6   58.2   85.8   25.0  7.942  0.098  0.030   57.8   66.0    6.1
 27760.0   -418532.4 -2464441.3  6655560.5   19.9   85.8   13.3  0.251  0.098  0.041   83.0   66.0   48.8
 28060.0   1574752.9 -3202116.8  6153199.8   51.4   85.8    1.7  0.227  0.098  0.024   40.7   66.1   18.4
 28360.0   3386422.7 -3709063.8  5043106.6   41.4   85.8   20.2  0.147  0.098  0.027    9.5   66.1   14.6
 28660.0   4850329.8 -3924063.2  3435071.6  146.0   85.8   39.6  0.952  0.098  0.046   10.7   66.2   26.1
 28960.0   5836726.3 -3808096.9  1487937.3   82.0   85.8   56.6  0.243  0.098  0.070   15.4   66.2   23.2
 29260.0   6263984.7 -3350063.6  -606000.1   29.0   85.8   41.4  0.767  0.098  0.060   20.5   66.1   23.1
 29560.0   6105441.9 -2570102.9 -2640257.6   40.4   85.8   30.5  0.582  0.098  0.060   34.5   66.0   14.0
 29860.0   5390459.8 -1519900.4 -4414776.4   44.6   85.8   43.9  0.326  0.098  0.066   17.9   65.9    6.7
 30160.0   4199818.2  -279716.5 -5755642.8   82.0   85.8   56.8  0.493  0.098  0.062    9.1   65.8   22.3
 30460.0   2656238.1  1047581.4 -6531792.9  158.9   85.8   37.6  0.917  0.098  0.028    4.5   65.8   14.1
 30760.0    911448.7  2344799.7 -6667344.1   84.9   85.8   39.7  1.586  0.098  0.025    0.9   65.8   23.0
 31060.0   -868643.3  3490637.7 -6148485.1    8.4   85.8   33.1  0.264  0.098  0.022   56.8   65.9   26.0
 31360.0  -2519529.2  4370691.5 -5024959.0  103.3   85.8   37.2  0.378  0.098  0.043  103.2   65.9   23.7
 31660.0  -3893060.5  4888971.5 -3405979.8   94.1   85.8   70.5  0.337  0.098  0.105   78.2   66.0   16.3
 31960.0  -4870959.5  4978638.2 -1450262.0    9.4   85.8   55.7  0.283  0.098  0.080   26.2   66.1   31.0
 32260.0  -5375461.5  4610677.8   649182.7   29.4   85.8   40.0  0.437  0.098  0.051   56.6   66.1   18.6
 32560.0  -5375916.5  3799323.0  2684139.3  131.8   85.8   24.6  1.656  0.098  0.020   23.2   66.1   30.4
 32860.0  -4890217.6  2602678.5  4452586.7  119.2   85.8   35.6  1.177  0.098  0.052   28.5   66.1    1.0
 33160.0  -3981440.1  1119140.0  5779250.1   51.8   85.8   42.2  0.591  0.098  0.063   39.0   66.0   20.3
 33460.0  -2749361.1  -521360.4  6533334.2   40.8   85.8   24.8  0.254  0.098  0.046   48.2   66.0    3.3
 33760.0  -1319112.0 -2168945.9  6641043.3   58.3   85.8   29.4  0.138  0.098  0.034   80.5   66.0   16.5
 34060.0    171724.0 -3667661.1  6092474.4   20.8   85.8   23.6  0.234  0.098  0.041  108.8   66.1   43.1
 34360.0   1586636.5 -4870345.1  4942205.6   17.5   85.8   18.4  0.462  0.098  0.045   90.9   66.1   20.5
 34660.0   2802582.2 -5653192.7  3303991.9   51.4   85.8   21.2  0.281  0.098  0.029  100.3   66.2   41.0
 34960.0   3720743.8 -5928736.7  1339632.6   49.2   85.8   23.6  0.484  0.098  0.039   74.1   66.2   57.1
 35260.0   4274448.6 -5655821.3  -756914.8   47.5   85.8   26.6  0.204  0.098  0.050   64.8   66.1   58.5
 35560.0   4433688.6 -4845166.2 -2778937.6   35.0   85.8   20.1  0.114  0.098  0.066   73.8   66.0   56.8
 35860.0   4205695.5 -3559678.6 -4527613.8  103.0   85.8   51.9  0.921  0.098  0.112   86.5   65.9   46.9
 36160.0   3631862.9 -1909591.8 -5831608.0  179.6   85.8   24.6  1.783  0.098  0.046   32.3   65.8   65.3
 36460.0   2781234.2   -42253.8 -6563537.1   23.0   85.8   18.6  0.172  0.098  0.056   19.4   65.8   79.0
 36760.0   1742539.3  1870533.5 -6651788.4   55.6   85.8   24.8  7.946  0.098  0.057   14.9   65.8   72.5
 37060.0    614813.3  3648399.7 -6087090.5   66.4   85.8   36.2  0.303  0.098  0.048   44.0   65.9   34.0
 37360.0   -501808.2  5119034.8 -4923734.3   28.0   85.8   45.2  1.402  0.098  0.048   91.9   66.0   39.0
 37660.0  -1514823.1  6134927.8 -3274814.0    5.9   85.8   46.7  0.174  0.098  0.042  132.1   66.1   67.1
 37960.0  -2346872.9  6588635.8 -1302032.2   66.4   85.8   40.1  0.635  0.098  0.048   65.0   66.1   28.9
 38260.0  -2941508.5  6424907.5   799801.6   48.5   85.8   32.4  0.138  0.098  0.077    2.6   66.1    9.8
 38560.0  -3266745.7  5647916.0  2822211.0   49.9   85.8   24.8  0.784  0.098  0.051   38.1   66.1    6.3
 38860.0  -3315931.3  4322281.0  4564340.2   87.7   85.8   51.9  0.170  0.098  0.087   21.7   66.1    5.9
 39160.0  -3105884.4  2567316.1  5853633.0  106.1   85.8   89.4  7.203  0.098  0.137   21.9   66.0   16.0
 39460.0  -2672953.0   545698.5  6563003.9  201.9* 107.6  131.9  0.151  0.121  0.177   40.5   71.6    6.6
 39760.0  -2067611.6 -1552281.9  6623107.7  150.1* 136.3  178.8  0.421  0.151  0.206   70.2   76.8    4.0
 40060.0  -1348440.6 -3527063.3  6028579.8   32.5  103.5   57.4  0.246  0.113  0.066   96.6   68.6   18.4
 40360.0   -576652.2 -5188556.3  4838707.7   31.3   94.0   50.3  0.535  0.104  0.069   89.9   66.8   42.2
 40660.0    189338.9 -6375088.2  3171084.8   44.0   89.6   50.6  1.358  0.102  0.065   94.0   66.3   50.5
 40960.0    897828.0 -6969134.2  1190439.6   50.9   87.5   64.6  0.054  0.101  0.057   70.5   66.2   61.0
 41260.0   1506704.8 -6909474.5  -907666.6   57.8   86.6   74.3  0.132  0.100  0.025   54.6   66.2   43.9
 41560.0   1985074.2 -6197708.0 -2916388.5   57.0   86.4   54.5  0.336  0.099  0.028   37.6   66.2   35.9
 41860.0   2313605.7 -4898252.4 -4638272.5   43.0   86.4   44.2  0.095  0.099  0.045   39.7   66.1   35.9
 42160.0   2483646.6 -3132082.0 -5904667.4   51.8   86.5   32.7  0.274  0.099  0.046   29.0   65.9   39.8
 42460.0   2495693.1 -1064848.1 -6591863.8   23.5   86.5   19.7  0.640  0.099  0.044   12.2   65.8   27.0
 42760.0   2357551.4  1108815.5 -6632586.9   40.1   86.4   12.5  0.572  0.099  0.035    3.2   65.8   22.8
 43060.0   2082605.5  3183397.1 -6022208.7   20.9   86.2    7.0  0.614  0.099  0.037    8.5   65.9   41.8
 43360.0   1688579.1  4961612.4 -4819443.8   57.4   86.0   14.8  0.229  0.099  0.032   33.9   66.0   48.0
 43660.0   1196804.4  6273153.4 -3141259.6   71.8   85.9   10.6  0.367  0.099  0.018  106.7   66.1   35.7
 43960.0    631905.7  6991539.5 -1152379.0   48.4   85.8   12.3  0.226  0.099  0.015  172.1   66.2   10.7
 44260.0     21742.7  7047219.0   950725.8   32.5   85.8    8.9  0.146  0.099  0.020  150.8   66.2    6.8
 44560.0   -602739.8  6435141.9  2959404.1   29.3   85.9   15.6  0.775  0.099  0.047  107.3   66.2    6.7
 44860.0  -1207893.4  5215554.9  4674209.2   78.5   85.9   11.1  0.508  0.098  0.028   81.5   66.1   28.8
 45160.0  -1758154.3  3507491.7  5925338.9   54.6   86.0   16.9  1.146  0.098  0.024   52.8   66.1   23.0
 45460.0  -2217322.3  1476464.7  6589504.7   43.3   85.9   15.2  0.581  0.098  0.049   30.9   66.0    1.3
 45760.0  -2550403.8  -682261.7  6601854.8  116.0   85.9   41.9  0.344  0.098  0.065    3.5   66.0    6.1
 46060.0  -2726072.2 -2762943.8  5961878.1   44.1   85.9   42.0  0.206  0.098  0.056    1.2   66.1    1.4
 46360.0  -2719505.9 -4569055.3  4733142.1   52.0   85.8   51.4  0.131  0.098  0.046   13.8   66.1    5.5
 46660.0  -2515719.2 -5931935.2  3037123.8   73.9   85.8   59.4  0.577  0.098  0.038   22.5   66.2    1.5
 46960.0  -2112641.8 -6726862.1  1041342.1   43.2   85.8   55.0  0.943  0.098  0.049    4.0   66.2    4.9
 47260.0  -1523537.7 -6884818.2 -1057174.4   56.7   85.8   34.4  0.458  0.098  0.056    8.6   66.1   19.5
 47560.0   -778201.1 -6398564.8 -3051614.8   67.4   85.8   39.0  0.391  0.098  0.068    1.5   66.0   10.9
 47860.0     77313.6 -5322541.2 -4745941.2   82.3   85.8   18.6  0.276  0.098  0.060    6.0   65.9    2.9
 48160.0    982963.3 -3766087.7 -5974274.3  173.3   85.8   53.7  1.099  0.098  0.074   17.6   65.8   27.6
 48460.0   1868165.8 -1882097.0 -6616619.7   91.4   85.8   46.0  0.925  0.098  0.046   51.0   65.8    9.9
 48760.0   2657109.8   148505.3 -6610043.7   20.6   85.8   37.6  1.090  0.098  0.037   59.6   65.8   16.0
 49060.0   3274913.8  2133801.2 -5954484.1   23.3   85.8   32.2  0.160  0.098  0.036   77.6   65.9   11.5
 49360.0   3654608.9  3888745.7 -4713044.6   39.6   85.8   35.6  0.492  0.098  0.040   44.6   66.0    7.5
 49660.0   3744481.2  5252325.4 -3006605.5   46.2   85.8   20.6  0.269  0.098  0.035    3.3   66.1   15.3
 49960.0   3514884.8  6102829.4 -1002693.5   30.6   85.8   14.0  0.385  0.098  0.041   66.4   66.1   13.3
 50260.0   2963610.1  6369407.3  1100601.4   45.1   85.8    7.1  0.315  0.098  0.025  101.6   66.1    1.7
 50560.0   2118745.6  6038547.6  3094585.8   43.0   85.8   11.1  0.214  0.098  0.010   54.9   66.1   26.1
 50860.0   1038406.8  5154469.4  4781308.4   25.0   85.8   10.9  3.928  0.098  0.014   49.7   66.1    4.7
 51160.0   -192911.7  3813322.4  5993768.1  105.8   85.8   33.3  0.574  0.098  0.036   29.4   66.0   41.8
 51460.0  -1471001.8  2151995.6  6612556.4   26.0   85.8   25.7  0.496  0.098  0.013   12.6   66.0   12.8
 51760.0  -2680807.1   333760.0  6577327.0   84.8   85.8   30.0  0.131  0.098  0.021   42.9   66.0    5.4
 52060.0  -3706869.1 -1468331.4  5892235.6   28.9   85.8   20.3  0.109  0.098  0.028   47.2   66.1   21.5
 52360.0  -4444398.6 -3087887.0  4625320.7   25.3   85.8   12.5  0.300  0.098  0.037   16.9   66.1    6.2
 52660.0  -4810067.2 -4380666.5  2901814.6   52.7   85.8   25.9  0.379  0.098  0.058    6.2   66.2   15.8
 52960.0  -4751446.4 -5237517.1   891826.6  170.9   85.8   58.1  0.245  0.098  0.092    6.4   66.2   12.6
 53260.0  -4254212.4 -5593741.4 -1206040.6   97.6   85.8   24.0  0.142  0.098  0.066   21.9   66.1    5.6
 53560.0  -3345194.8 -5433711.8 -3185208.8   16.5   85.8   37.6  0.454  0.098  0.054    6.9   66.0    7.5
 53860.0  -2091989.7 -4790484.6 -4851187.3   67.8   85.8   38.9  0.766  0.098  0.043    3.3   65.9    8.9
 54160.0   -597733.8 -3740355.9 -6040891.4  104.8   85.8   46.0  0.900  0.098  0.036   14.1   65.8    2.7
 54460.0   1007159.7 -2393839.4 -6638094.2   42.1   85.8   45.5  0.413  0.098  0.026    7.1   65.8    1.7
 54760.0   2576472.5  -883699.3 -6584242.5   57.2   85.8   43.4  0.263  0.098  0.046   38.6   65.8   25.6
 55060.0   3961132.3   647924.2 -5883839.6   25.5   85.8   38.5  0.239  0.098  0.039   49.3   65.9   32.4
 55360.0   5023150.0  2062644.7 -4604364.2   38.7   85.8   10.5  0.396  0.098  0.039   51.1   66.0   11.7
 55660.0   5649527.6  3238206.4 -2870479.1   70.2   85.8   23.7  0.439  0.098  0.068   24.5   66.1   10.4
 55960.0   5764782.8  4079222.0  -852551.5   46.0   85.8   35.2  0.414  0.098  0.080   13.0   66.1    3.7
 56260.0   5340399.4  4525186.7  1249897.0   22.2   85.8   44.3  0.437  0.098  0.069    4.8   66.1   23.6
 56560.0   4399865.5  4554814.4  3228202.6   39.1   85.8   41.0  0.302  0.098  0.031    5.7   66.1   23.6
 56860.0   3018079.2  4186168.0  4885963.8  161.5   85.8   84.6  5.744  0.098  0.066    1.8   66.1   28.6
 57160.0   1315403.5  3472747.7  6059105.8   53.4   85.8   78.8  0.216  0.098  0.062   26.5   66.0    2.3
 57460.0   -553623.1  2495984.7  6632190.8   53.7   85.8   44.2  0.383  0.098  0.020   22.1   66.0   18.9
 57760.0  -2414677.2  1355713.5  6549361.2   20.4   85.8   31.4  0.219  0.098  0.032    0.9   66.0    4.4
 58060.0  -4090026.6   159835.2  5819484.9   48.1   85.8   31.3  0.726  0.098  0.056   14.5   66.1    0.5
 58360.0  -5415672.4  -986068.9  4514960.1   28.3   85.8   34.3  0.524  0.098  0.050    4.4   66.1    1.8
 58660.0  -6257558.6 -1987903.2  2764729.0   79.1   85.8   46.2  0.352  0.098  0.066    6.7   66.2   10.9
 58960.0  -6525401.7 -2770704.2   741627.8   13.4   85.8   36.7  0.286  0.098  0.059    3.3   66.1   22.3
 59260.0  -6182719.2 -3283880.2 -1354643.4   82.0   85.8   20.0  0.389  0.098  0.017   33.6   66.1   28.7
 59560.0  -5251549.2 -3503840.5 -3317532.9   37.0   85.8   22.7  0.102  0.098  0.015   60.2   66.0   11.6
 59860.0  -3810927.2 -3433648.4 -4954269.0   80.9   85.8   12.4  0.564  0.098  0.012   90.3   65.9   20.0
 60160.0  -1990009.9 -3100141.4 -6104629.9   14.8   85.8   14.2  0.400  0.098  0.010   99.2   65.8   27.7
 60460.0     44036.1 -2549115.0 -6656268.2   55.0   85.8    7.2  0.542  0.098  0.020   72.9   65.8   22.2
 60760.0   2101380.0 -1839385.5 -6555006.4   31.6   85.8   12.5  0.114  0.098  0.027   40.1   65.8   26.8
 61060.0   3986855.7 -1036609.0 -5809996.7   38.8   85.8   19.1  1.004  0.098  0.038   16.3   65.9   12.2
 61360.0   5518323.2  -207320.1 -4493099.3   78.6   85.8   40.3  5.801  0.098  0.054   25.3   66.0    0.8
 61660.0   6544312.1   586276.9 -2732645.9  121.6   85.8   39.2  0.536  0.098  0.048   19.7   66.1   30.5
 61960.0   6959733.5  1290690.1  -701709.2   53.5   85.8   42.7  0.314  0.098  0.038   33.3   66.1   14.8
 62260.0   6717487.1  1864120.1  1398794.7  121.3   85.8   37.0  0.658  0.098  0.028   16.3   66.1    9.9
 62560.0   5834480.5  2278369.4  3360356.8   99.6   85.8   40.3  0.880  0.098  0.009    0.7   66.1   13.2
 62860.0   4390578.1  2518908.2  4988266.5   72.3   85.8   41.9  0.345  0.098  0.025   10.4   66.1    8.0
 63160.0   2520956.2  2583885.1  6121446.9   24.7   85.8   27.8  0.517  0.098  0.047   58.1   66.0   17.2
 63460.0    402619.4  2482057.1  6648426.5   43.8   85.8   18.3  0.180  0.098  0.053   90.0   66.0   25.2
 63760.0  -1763054.4  2230258.3  6517923.5   66.2   85.8   22.1  0.646  0.098  0.053   91.6   66.0    3.4
 64060.0  -3769609.1  1851007.4  5743517.6   18.0   85.8   24.0  0.343  0.098  0.037   36.2   66.1   11.7
 64360.0  -5425453.9  1370431.0  4401969.6   31.8   85.8   28.0  0.472  0.098  0.033   55.2   66.1   20.2
 64660.0  -6572211.3   816858.1  2625858.7   64.2   85.8   40.7  0.242  0.098  0.033   58.6   66.2   27.1
 64960.0  -7100256.2   219911.5   590622.1   10.9   85.8   32.5  0.234  0.098  0.025   37.8   66.1   26.0
 65260.0  -6959625.8  -390091.1 -1502894.2   29.8   85.8   18.8  0.045  0.098  0.026   26.8   66.1   14.2
 65560.0  -6164838.0  -982442.0 -3448470.8    9.1   85.8   12.0  1.670  0.098  0.016   64.6   66.0    8.2
 65860.0  -4793118.6 -1526324.6 -5055036.9   99.1   85.8   29.0  0.599  0.098  0.031  109.3   65.9    0.7
