GPS/MET Real Time Orbit Determination

 Initial Epoch:           1996/10/01  00:05:29.000
 Inertial position:       -2915758.858    4622150.287   -4581931.300
 Inertial velocity:        -529.964911   -5411.837062   -5119.305700

 Gravity field order:  10
 Step size:            30.0 s
 Measurement sigma:    100.0 m
 A priori pos. sigma:  1000.0 m
 A priori vel. sigma:  10.0000 m/s
 State noise position: 0.5 m
 State noise velocity: 0.0005 m/s
 Edit level (sigma):   3.0


   Time      x(WGS)     y(WGS)     z(WGS)       Position [m]        Velocity [m/s]    Semi-major axis [m] 
    [s]        [m]        [m]        [m]     Meas. Sigma  Estim. Meas.  Sigma  Estim.  Meas. Sigma  Estim.
 14860.0  -4064499.6 -4144035.9  4101788.6   60.3   45.4   35.2  0.170  0.044  0.015   85.6    5.9    1.5
 15160.0  -2471446.5 -3706544.5  5536918.0  117.2   44.9   36.0  1.458  0.044  0.035   56.7    5.9    3.0
 15460.0   -609686.8 -2979886.9  6423282.2   46.2   44.4   29.4  0.348  0.044  0.043   85.0    5.9    0.2
 15760.0   1348399.7 -2043994.4  6673971.6   15.4   44.0   24.1  0.210  0.044  0.045    3.9    6.0    6.5
 16060.0   3217711.7  -991229.9  6264955.3   66.1   43.9   21.1  0.440  0.044  0.042   67.9    6.0    2.8
 16360.0   4818026.9    82835.5  5237099.1   34.4   44.0   22.1  0.420  0.044  0.037   58.7    6.0    2.7
 16660.0   5991510.2  1088088.3  3692104.5   42.9   44.2   23.8  0.772  0.044  0.029   25.7    6.0    0.5
 16960.0   6618549.2  1947301.4  1782610.5   49.0   44.4   26.0  0.183  0.043  0.020   34.8    6.0    4.9
 17260.0   6630327.3  2601779.2  -302805.3   43.0   44.4   30.2  0.383  0.043  0.016   96.4    5.9    3.6
 17560.0   6016574.1  3014807.4 -2358412.7   37.7   44.3   28.8  0.740  0.043  0.009   80.2    5.9    0.8
 17860.0   4827350.6  3172682.9 -4181942.7   71.0   44.0   25.3  0.112  0.043  0.006   40.4    5.9    3.3
 18160.0   3168648.6  3083361.2 -5594593.7   35.3   43.7   21.7  0.259  0.043  0.015   23.7    5.9    0.4
 18460.0   1192485.8  2773186.4 -6458279.9   67.8   43.3   17.3  0.284  0.043  0.022   47.7    5.9    2.5
 18760.0   -917306.5  2282403.5 -6688585.2   71.5   43.0   13.3  0.485  0.043  0.026  107.7    5.9    2.4
 19060.0  -2962032.1  1660180.7 -6262540.4   43.6   42.9   13.3  0.301  0.043  0.030  126.7    5.9    0.1
 19360.0  -4746541.7   959740.2 -5220867.8   33.5   42.8   11.9  0.157  0.043  0.029   89.7    5.9    0.6
 19660.0  -6097676.0   234033.6 -3664638.9   87.1   42.9   23.1  0.739  0.043  0.032    8.3    5.9    0.1
 19960.0  -6881502.8  -467890.6 -1746181.1   20.1   43.0   26.9  0.336  0.042  0.032    4.5    5.9    1.3
 20260.0  -7017417.8 -1103615.1   345279.5   54.4   43.0   29.1  0.819  0.042  0.025   26.6    5.9    0.2
 20560.0  -6487334.4 -1639172.8  2402422.6   39.4   42.8   29.3  0.443  0.042  0.026   34.7    5.9    1.2
 20860.0  -5338321.6 -2049853.6  4220988.1   11.8   42.6   28.3  0.814  0.042  0.029   67.7    5.9    1.8
 21160.0  -3678206.2 -2320036.2  5620697.2   39.1   42.3   24.3  1.196  0.042  0.028   66.0    5.9    0.9
 21460.0  -1664722.0 -2442322.5  6463395.8   16.1   42.1   24.6  0.185  0.042  0.036   70.0    5.9    2.0
 21760.0    510259.2 -2416298.5  6666514.4   72.8   41.9   23.2  0.078  0.042  0.033   57.7    5.9    0.5
 22060.0   2639472.2 -2247334.3  6210724.8   62.4   41.8   31.6  0.399  0.042  0.042   54.4    5.9    1.1
 22360.0   4520176.9 -1945717.3  5141481.1   65.7   41.8   37.0  0.339  0.042  0.042   82.7    5.9    1.3
 22660.0   5973538.9 -1526296.9  3564548.0    4.8   41.9   39.3  0.169  0.042  0.042   54.7    5.9    2.4
 22960.0   6861940.8 -1008514.5  1635714.4   28.6   41.9   40.1  0.332  0.041  0.038   32.9    5.9    2.1
 23260.0   7102429.1  -416629.3  -454534.0   31.3   42.0   43.9  0.174  0.041  0.038    9.6    5.9    1.4
