Exercise 4-2: Gauss-Jackson 4th-order predictor

  Problem D1 (e=0.1)

  N_fnc   Accuracy   Digits 
   116    2.456e-03   2.61
   316    3.363e-06   5.47
   616    7.705e-08   7.11
  1016    4.539e-09   8.34
  1516    5.174e-10   9.29
  2016    1.166e-10   9.93
  3016    1.500e-11  10.82
  4016    3.593e-12  11.44
